O3,gpus,N,iter,usr_htod_time,usr_kernel_time,usr_dtoh_time,dep_res_creation_time,dep_res_exec_time,linearization_time
true,4,20480,3,2.08134,12.1824,0.23642,0.0218176,0.259524,0.000440919
true,4,20480,4,2.26561,12.2352,0.242022,0.021775,0.263026,0.000437804
true,4,20480,5,2.17418,12.2498,0.238953,0.0211698,0.260007,0.000442648
true,4,24576,1,3.13413,17.4265,0.327399,0.0217875,0.282853,0.000439095
true,4,24576,2,3.29054,17.4825,0.345735,0.0225259,0.282439,0.000436219
true,4,24576,3,3.13012,17.429,0.342956,0.0215793,0.282464,0.000439314
true,4,24576,4,4.47372,17.5965,0.712376,0.0212279,0.28036,0.000432908
true,4,24576,5,3.63603,17.4272,0.451657,0.0209623,0.282887,0.000422824
true,4,28672,1,4.1202,23.6351,0.452066,0.0213306,0.292818,0.000426218
true,4,28672,2,3.22342,23.6488,0.301031,0.0217864,0.292748,0.000444426
true,4,28672,3,4.43444,23.6762,0.468318,0.0217927,0.29362,0.000430219
true,4,28672,4,4.23804,23.6355,0.46098,0.0216557,0.293728,0.000431245
true,4,28672,5,4.44487,23.6845,0.469235,0.0224903,0.293794,0.000440031
true,4,32768,1,6.94791,30.8478,0.412666,0.0220232,0.30317,0.000452472
true,4,32768,2,5.42075,30.8674,0.582049,0.0214504,0.308214,0.000437521
true,4,32768,3,5.53757,30.8489,0.603394,0.0218398,0.306879,0.000440069
true,4,32768,4,5.1532,30.8121,0.617401,0.0221484,0.321234,0.000475663
true,4,32768,5,5.55185,30.81,0.611486,0.0215484,0.30628,0.000431967
true,4,36864,1,6.94546,38.9579,0.778187,0.0214362,0.323555,0.00044602
true,4,36864,2,7.17565,38.9917,0.784952,0.0214207,0.320574,0.000435283
true,4,36864,3,10.2592,38.9759,1.32039,0.0219377,0.320963,0.000457973
true,4,36864,4,6.6141,38.9772,0.762338,0.02171,0.320661,0.000434613
true,4,36864,5,7.28012,38.9903,0.780237,0.0228885,0.323104,0.000444008
true,5,1024,1,0.00810312,0.3404,0.0021037,0.0233276,0.243278,0.00053232
true,5,1024,2,0.0082296,0.343512,0.00206774,0.0230531,0.247947,0.000547199
true,5,1024,3,0.0077821,0.357859,0.0021493,0.0236901,0.258897,0.000532305
true,5,1024,4,0.00554846,0.345638,0.00226716,0.022768,0.251898,0.000564813
true,5,1024,5,0.0079028,0.354726,0.00250743,0.0234801,0.254929,0.000526164
true,5,2048,1,0.0302204,0.47706,0.00602551,0.0237839,0.266646,0.000551424
true,5,2048,2,0.0262447,0.478028,0.00392243,0.023668,0.270728,0.00055925
true,5,2048,3,0.0269849,0.481892,0.00412298,0.0229251,0.268602,0.00053107
true,5,2048,4,0.0272787,0.480217,0.00424992,0.0232296,0.268872,0.000550016
true,5,2048,5,0.0282432,0.478026,0.00417037,0.0233146,0.267887,0.000532828
true,5,4096,1,0.196523,0.853728,0.0275551,0.0240181,0.27562,0.000532435
true,5,4096,2,0.191567,0.759414,0.0270023,0.0230689,0.267012,0.000533154
true,5,4096,3,0.10107,0.726144,0.0103779,0.0236648,0.257189,0.000537912
true,5,4096,4,0.104441,0.708531,0.011642,0.0229827,0.252253,0.00053529
true,5,4096,5,0.107752,0.711577,0.0109686,0.0241688,0.25704,0.00054541
true,5,8192,1,0.427101,1.8509,0.0388845,0.0236539,0.270854,0.000548139
true,5,8192,2,0.412847,1.84908,0.0385656,0.0246696,0.277622,0.00054397
true,5,8192,3,0.739177,1.99821,0.0918755,0.0238538,0.270938,0.000577923
true,5,8192,4,0.413948,2.00007,0.0410938,0.0236587,0.27347,0.000541817
true,5,8192,5,0.497721,1.82837,0.0330238,0.0230937,0.255804,0.000547494
true,5,12288,1,0.882641,3.75954,0.0856679,0.0231463,0.292187,0.000529196
true,5,12288,2,0.993004,3.92237,0.0878858,0.0238769,0.294634,0.000550904
true,5,12288,3,0.987123,3.75624,0.0871786,0.0234149,0.289941,0.000531715
true,5,12288,4,0.985659,3.75829,0.0883221,0.023604,0.289915,0.000528683
true,5,12288,5,1.7821,3.92973,0.206706,0.0235441,0.287383,0.000516382
true,5,16384,1,1.73516,6.55381,0.155995,0.0237442,0.314829,0.000519244
true,5,16384,2,1.65823,6.52157,0.135481,0.0229323,0.320356,0.000514745
true,5,16384,3,2.26155,6.44064,0.0999207,0.0233793,0.317718,0.000546177
true,5,16384,4,1.63599,6.53278,0.149798,0.0239756,0.322774,0.000527581
true,5,16384,5,2.29578,6.58443,0.232594,0.0237566,0.316464,0.000544111
true,5,20480,1,2.79867,9.95629,0.243276,0.0244792,0.348976,0.000542281
true,5,20480,2,2.44673,9.93053,0.233145,0.0234256,0.346461,0.000522342
true,5,20480,3,2.71851,9.9267,0.244193,0.0237557,0.346361,0.000535684
true,5,20480,4,2.56528,9.93598,0.235586,0.0231,0.348468,0.000520333
true,5,20480,5,2.70963,9.96946,0.236957,0.0237072,0.347524,0.00052029
true,5,24576,1,3.53646,14.1015,0.332111,0.0236841,0.37811,0.000536349
true,5,24576,2,3.5847,14.1493,0.336514,0.0239675,0.379997,0.00053537
true,5,24576,3,6.0532,14.1218,0.211045,0.0246469,0.378996,0.000525942
true,5,24576,4,3.93959,14.1549,0.491361,0.0243654,0.378223,0.000525746
true,5,24576,5,3.67492,14.1062,0.351193,0.0240022,0.378793,0.000533308
true,5,28672,1,5.09967,19.1312,0.495008,0.0255252,0.402829,0.000521844
true,5,28672,2,5.31432,19.0468,0.454795,0.0235517,0.401806,0.000521502
true,5,28672,3,5.40676,19.1252,0.471538,0.0245229,0.395333,0.000541965
