N,gpus,usr_htod_memcpy_time,usr_dtoh_memcpy_time,usr_kernel_time,dep_res_creation_time,dep_res_copy_time,arg_acc_time,lin_time
20480,15,0.00215696,0.00435407,41.7331,0.0569231,15.1637,0.038138,0.0351919
20480,15,0.00215511,0.00406054,41.7445,0.0532628,15.1109,0.0344877,0.0318025
20480,16,0.0022888,0.00502535,44.0576,0.0620922,17.4333,0.0433343,0.0397295
20480,16,0.00221892,0.00352616,43.9262,0.0541657,17.3336,0.0340448,0.0319514
20480,16,0.00213501,0.00422685,44.0462,0.0599519,17.4157,0.0409158,0.0381502
20480,16,0.00234948,0.00372581,43.953,0.0652795,17.325,0.0459434,0.0436483
20480,16,0.00225389,0.00461985,43.6861,0.0546228,17.0111,0.0347421,0.0315386
20480,1,0.000247683,0.00028877,52.2801,N/A,N/A,N/A,N/A
20480,1,0.00022196,0.000374064,52.2293,N/A,N/A,N/A,N/A
20480,1,0.000198942,0.000274575,52.2257,N/A,N/A,N/A,N/A
20480,1,0.000193713,0.000289667,52.217,N/A,N/A,N/A,N/A
20480,1,0.000195958,0.00027025,52.2155,N/A,N/A,N/A,N/A
20480,3,0.000445065,0.00357578,26.6548,0.030801,0.587518,0.0192893,0.016191
20480,3,0.000504269,0.00366318,26.5258,0.0308078,0.590024,0.0190618,0.0158862
20480,3,0.000502441,0.00360721,26.5475,0.0327934,0.589415,0.0208634,0.0177415
20480,3,0.000499577,0.00358145,26.5513,0.030404,0.58847,0.018542,0.0154612
20480,3,0.000532148,0.00352991,26.5515,0.0304415,0.58631,0.018331,0.0152908
20480,4,0.000569361,0.00278072,27.0531,0.0333157,1.06911,0.0196548,0.0173702
20480,4,0.00051338,0.0026099,26.9242,0.030531,1.06776,0.0172464,0.015147
20480,4,0.000500005,0.00276904,26.9236,0.031458,1.0594,0.0187481,0.0164695
20480,4,0.000527994,0.00331598,26.865,0.0324853,0.987,0.0183393,0.0155213
20480,4,0.000520523,0.00283564,26.9023,0.0308623,1.02743,0.0178087,0.0154499
20480,5,0.000567651,0.00267173,27.7209,0.0337864,1.68836,0.0200313,0.017886
20480,5,0.000568914,0.00311951,27.548,0.032021,1.67386,0.0177844,0.0151748
20480,5,0.000599149,0.0034296,27.4439,0.0364171,1.55924,0.0218179,0.0189856
20480,5,0.000566602,0.00302186,27.5651,0.0349401,1.68769,0.0216075,0.0191388
20480,5,0.000624184,0.00315594,27.5498,0.0330887,1.66975,0.0203464,0.0177529
