O3,gpus,N,iter,usr_htod_time,usr_kernel_time,usr_dtoh_time,dep_res_creation_time,dep_res_exec_time,linearization_time
true,7,1024,1,0.00910126,0.420406,0.0130378,0.0253723,0.336891,0.0198604
true,7,1024,2,0.00957332,0.440278,0.0123605,0.0245338,0.354233,0.0189749
true,7,1024,3,0.0101731,0.435553,0.0145322,0.0278141,0.34121,0.0223173
true,7,2048,1,0.0411019,0.53485,0.0287925,0.0315176,0.367658,0.0254592
true,7,2048,2,0.0375799,0.536338,0.0299457,0.0321171,0.366726,0.0259989
true,7,2048,3,0.0395865,0.532461,0.0287408,0.031116,0.365129,0.0255712
true,7,4096,1,0.161974,0.845343,0.0667683,0.0477406,0.395424,0.0422941
true,7,4096,2,0.160989,0.846429,0.0661663,0.0441975,0.399115,0.0386452
true,7,4096,3,0.18474,0.846742,0.0807,0.0458873,0.399135,0.0406786
true,7,8192,1,0.802946,1.60248,0.201711,0.0774701,0.383525,0.0716876
true,7,8192,2,0.619888,1.42762,0.143826,0.0737627,0.365129,0.0675801
true,7,8192,3,0.61011,1.44607,0.151132,0.0733498,0.381032,0.0668993
true,7,12288,1,1.80834,2.73958,0.332015,0.0983805,0.424774,0.0916822
true,7,12288,2,1.38755,2.74999,0.264437,0.102203,0.431394,0.0957355
true,7,12288,3,1.32984,2.7371,0.261984,0.0987447,0.421117,0.0925765
true,7,16384,1,2.50195,4.5414,0.412551,0.126169,0.463417,0.118904
true,7,16384,2,2.56184,4.63496,0.414204,0.131116,0.459348,0.124066
true,7,16384,3,2.30817,4.4798,0.41518,0.131561,0.464282,0.123662
true,7,20480,1,3.6807,6.85249,0.510244,0.156843,0.478825,0.149199
true,7,20480,2,3.93105,6.98641,0.591533,0.155447,0.504824,0.146915
true,7,20480,3,3.91888,6.93779,0.595286,0.159439,0.504549,0.151823
true,7,24576,1,5.47951,9.48121,0.797962,0.181961,0.548394,0.174239
true,7,24576,2,5.62133,9.54614,0.810707,0.202206,0.553731,0.193214
true,7,24576,3,5.48292,9.48933,0.803066,0.180738,0.553159,0.173051
true,7,28672,1,8.90019,12.7761,1.29478,0.21535,0.578632,0.207291
true,7,28672,2,7.25828,12.6079,1.04624,0.213737,0.57685,0.205853
true,7,28672,3,7.66286,12.6632,0.82119,0.218841,0.563848,0.211067
true,7,32768,1,8.73698,16.2069,1.30194,0.241285,0.624651,0.233477
true,7,32768,2,9.94318,16.2274,1.30521,0.249436,0.60677,0.241268
true,7,32768,3,10.2872,16.2487,1.75141,0.261121,0.576496,0.253298
true,7,36864,1,9.59927,20.4964,1.20866,0.265486,0.583865,0.257259
