gpus,N,usr_htod_time,usr_kernel_time,usr_dtoh_time,dep_res_creation_time,dep_res_exec_time,linearization_time
9,36864,14.789,57.4217,1.55855,1.0935,1.79783,0.370163
9,4096,0.190433,2.51849,0.0773629,0.332141,1.07922,0.201979
9,4096,0.190872,2.54096,0.07659,0.368266,1.07232,0.239138
9,4096,0.276196,2.52744,0.0821374,0.337054,1.08731,0.207761
9,8192,0.726535,4.32311,0.18882,0.464643,1.00763,0.258832
9,8192,1.02193,4.2951,0.198587,0.429179,1.03176,0.228177
9,8192,1.03695,4.26613,0.188216,0.42906,1.00895,0.223852
10,1024,0.0140804,1.44639,0.0143886,0.276221,1.05146,0.199021
10,1024,0.0158187,1.46353,0.0146937,0.281524,1.06129,0.204829
10,1024,0.0160962,1.48381,0.0150478,0.280712,1.08014,0.20324
10,12288,1.80752,7.54871,0.353991,0.55813,1.27738,0.24824
10,12288,2.28746,7.56031,0.259212,0.563073,1.28083,0.251978
10,12288,2.32037,7.54734,0.351932,0.558882,1.28186,0.248749
10,16384,3.94147,12.009,0.402705,0.775239,1.41734,0.385871
10,16384,4.20669,11.7806,0.346584,0.66081,1.34762,0.26813
10,16384,5.65498,11.8792,0.393062,0.664486,1.4099,0.274663
10,2048,0.0533715,1.68722,0.0317254,0.303017,1.08267,0.206189
10,2048,0.0621118,1.72065,0.0319442,0.305058,1.11349,0.204168
10,2048,0.0726689,1.76968,0.0328937,0.370578,1.09918,0.271654
10,20480,5.79157,18.0502,0.570262,0.81484,1.52941,0.33015
10,20480,5.9907,17.9747,0.570927,0.764336,1.54271,0.291826
10,20480,6.12463,18.0257,0.570843,0.759335,1.51737,0.284089
10,24576,7.2793,24.4857,0.761644,0.865322,1.67461,0.309724
10,24576,7.57803,24.5291,0.76267,0.87554,1.70853,0.318888
10,24576,7.74044,24.461,0.777202,0.863325,1.66816,0.308858
10,28672,10.8285,32.3278,1.00782,0.989204,1.78031,0.35151
10,28672,10.9942,32.3093,0.998855,0.967084,1.78097,0.327191
10,28672,11.6826,32.343,0.991442,1.00034,1.7866,0.362878
10,32768,13.383,41.4862,1.248,1.07619,1.92086,0.349786
10,32768,14.1688,41.4125,1.23954,1.0625,1.86583,0.342829
